TIME_PERIOD,OBS_VALUE
4/1/2005,10.7255
4/4/2005,10.6626
4/5/2005,10.6022
4/6/2005,10.6436
4/7/2005,10.6957
4/8/2005,10.6096
4/11/2005,10.7354
4/12/2005,10.747
4/13/2005,10.6949
4/14/2005,10.6105
4/15/2005,10.6502
4/18/2005,10.7321
4/19/2005,10.7561
4/20/2005,10.8
4/21/2005,10.8075
4/22/2005,10.8232
4/25/2005,10.7313
4/26/2005,10.7437
4/27/2005,10.6932
4/28/2005,10.6808
4/29/2005,10.7239
5/2/2005,10.6461
5/3/2005,10.6403
5/4/2005,10.7206
5/5/2005,10.7214
5/6/2005,10.7156
5/9/2005,10.6138
5/10/2005,10.6386
5/11/2005,10.6618
5/12/2005,10.5699
5/13/2005,10.4574
5/16/2005,10.4416
5/17/2005,10.4582
5/18/2005,10.4458
5/19/2005,10.4632
5/20/2005,10.4342
5/23/2005,10.3854
5/24/2005,10.4425
5/25/2005,10.3986
5/26/2005,10.3647
5/27/2005,10.3878
5/30/2005,10.3225
5/31/2005,10.2058
6/1/2005,10.1205
6/2/2005,10.1495
6/3/2005,10.171
6/6/2005,10.1569
6/7/2005,10.1677
6/8/2005,10.2
6/9/2005,10.1296
6/10/2005,10.1213
6/13/2005,9.9831
6/14/2005,10.0228
6/15/2005,9.9889
6/16/2005,10.027
6/17/2005,10.0783
6/20/2005,10.1056
6/21/2005,10.0079
6/22/2005,10.0237
6/23/2005,9.9864
6/24/2005,9.9997
6/27/2005,10.0675
6/28/2005,10.0104
6/29/2005,9.9765
6/30/2005,10.0079
7/1/2005,10.0038
7/4/2005,9.8441
7/5/2005,9.835
7/6/2005,9.8598
7/7/2005,9.8962
7/8/2005,9.8523
7/11/2005,9.9368
7/12/2005,10.0692
7/13/2005,10.0841
7/14/2005,9.9873
7/15/2005,9.9922
7/18/2005,9.9765
7/19/2005,9.9029
7/20/2005,9.984
7/21/2005,9.8836
7/22/2005,9.8493
7/25/2005,9.7843
7/26/2005,9.7213
7/27/2005,9.7272
7/28/2005,9.8107
7/29/2005,9.8021
8/1/2005,9.903
8/2/2005,9.8997
8/3/2005,9.9758
8/4/2005,9.9817
8/5/2005,10.0372
8/8/2005,10.0308
8/9/2005,10.0259
8/10/2005,10.033
8/11/2005,10.0483
8/12/2005,10.0877
8/15/2005,10.0194
8/16/2005,9.9738
8/17/2005,9.9594
8/18/2005,9.8934
8/19/2005,9.874
8/22/2005,9.914
8/23/2005,9.9102
8/24/2005,9.8915
8/25/2005,9.9406
8/26/2005,9.9644
8/29/2005,9.9484
8/30/2005,9.8633
8/31/2005,9.8801
9/1/2005,10.028
9/2/2005,10.1501
9/5/2005,10.1452
9/6/2005,10.1004
9/7/2005,10.076
9/8/2005,10.0518
9/9/2005,10.0507
9/12/2005,9.9641
9/13/2005,9.9362
9/14/2005,9.9635
9/15/2005,9.8868
9/16/2005,9.901
9/19/2005,9.8214
9/20/2005,9.8314
9/21/2005,9.8914
9/22/2005,9.8869
9/23/2005,9.8047
9/26/2005,9.7366
9/27/2005,9.7144
9/28/2005,9.7426
9/29/2005,9.7626
9/30/2005,9.7444
10/3/2005,9.6562
10/4/2005,9.6602
10/5/2005,9.6675
10/6/2005,9.7598
10/7/2005,9.8269
10/10/2005,9.7748
10/11/2005,9.7233
10/12/2005,9.7139
10/13/2005,9.69
10/14/2005,9.7067
10/17/2005,9.723
10/18/2005,9.6582
10/19/2005,9.6704
10/20/2005,9.6706
10/21/2005,9.7159
10/24/2005,9.6646
10/25/2005,9.7219
10/26/2005,9.7518
10/27/2005,9.8086
10/28/2005,9.8124
10/31/2005,9.72
11/1/2005,9.7097
11/2/2005,9.6957
11/3/2005,9.7341
11/4/2005,9.6485
11/7/2005,9.5629
11/8/2005,9.4946
11/9/2005,9.491
11/10/2005,9.5092
11/11/2005,9.4577
11/14/2005,9.4677
11/15/2005,9.4322
11/16/2005,9.4391
11/17/2005,9.4524
11/18/2005,9.4404
11/21/2005,9.5472
11/22/2005,9.459
11/23/2005,9.5169
11/24/2005,9.5213
11/25/2005,9.5063
11/28/2005,9.4775
11/29/2005,9.5283
11/30/2005,9.5098
12/1/2005,9.4897
12/2/2005,9.4519
12/5/2005,9.5087
12/6/2005,9.5183
12/7/2005,9.4583
12/8/2005,9.503
12/9/2005,9.5182
12/12/2005,9.6318
12/13/2005,9.6296
12/14/2005,9.7057
12/15/2005,9.688
12/16/2005,9.6745
12/19/2005,9.669
12/20/2005,9.6525
12/21/2005,9.5884
12/22/2005,9.5492
12/23/2005,9.5776
12/27/2005,9.5693
12/28/2005,9.6192
12/29/2005,9.5438
12/30/2005,9.5204
1/2/2006,9.5438
1/3/2006,9.5834
1/4/2006,9.7512
1/5/2006,9.7524
1/6/2006,9.756
1/9/2006,9.7427
1/10/2006,9.7346
1/11/2006,9.7556
1/12/2006,9.7734
1/13/2006,9.7144
1/16/2006,9.7711
1/17/2006,9.7416
1/18/2006,9.7854
1/19/2006,9.7413
1/20/2006,9.7326
1/23/2006,9.9008
1/24/2006,9.8943
1/25/2006,9.9127
1/26/2006,9.8792
1/27/2006,9.8116
1/30/2006,9.7391
1/31/2006,9.7681
2/1/2006,9.7471
2/2/2006,9.7262
2/3/2006,9.7221
2/6/2006,9.6519
2/7/2006,9.6462
2/8/2006,9.6235
2/9/2006,9.6444
2/10/2006,9.6378
2/13/2006,9.5665
2/14/2006,9.5752
2/15/2006,9.5805
2/16/2006,9.5451
2/17/2006,9.5489
2/20/2006,9.6032
2/21/2006,9.5825
2/22/2006,9.559
2/23/2006,9.6242
2/24/2006,9.5682
2/27/2006,9.5314
2/28/2006,9.5493
3/1/2006,9.6098
3/2/2006,9.5838
3/3/2006,9.6617
